[1231]                  [2548]                                                [7515]                  [3625]                                                [7673]                  [7599]                  
[8425]                  [1246]                                                [7409]                  [7310]                                                [4694]                  [6320]                  
[2430]                  [3014]                                                [4119]                  [8598]                                                [4113]                  [5023]                  
[7261]                  [1518]                                                [1832]                  [5724]                                                [676]                   [1964]                  
[4977]                  [5015]                                                [6773]                  [2728]                                                [3281]                  [1471]                  
[5876]                  [2937]                                                [6476]                  [1899]                                                [1369]                  [9723]                  
[9793]                  [969]                                                 [9791]                  [3454]                                                [2014]                  [2462]                  
[2235]                  [5027]                                                [7184]                  [9139]                                                [7954]                  [4444]                  
[7008]                  [6137]                                                [168]                   [7683]                                                [4453]                  [5144]                  
[9049]                  [1225]                                                [7871]                  [2329]                                                [9047]                  [1617]                  
[5522]                  [2986]                                                [1597]                  [730]                                                 [2778]                  [2565]                  
[6872]                  [2584]                                                [4578]                  [5686]                                                [5956]                  [8617]                  
[8354]                  [2923]                                                [2797]                  [4805]                                                [9059]                  [9316]                  
[2487]                  [3511]                                                [811]                   [7888]                                                [1087]                  [8682]                  
[134]                   [5131]                                                [8185]                  [2007]                                                [7127]                  [3603]                  
[4208]                  [299]                                                 [2519]                  [1080]                                                [2882]                  [6765]                  
[4052]                  [9403]                                                [1733]                  [8757]                                                [7200]                  [4655]                  
[2004]                  [66]                                                  [843]                   [3576]                                                [8031]                  [8730]                  
[1015]                  [5297]                                                [1148]                  [8195]                                                [3481]                  [1673]                  
[1002]                  [3109]                                                [2232]                  [1301]                                                [1979]                  [9663]                  
[4182]                  [5427]                                                [2779]                  [4585]                                                [1181]                  [4512]                  
[9693]                  [5518]                                                [7598]                  [6736]                                                [5583]                  [4818]                  
